"scenario_id","source_owner","use_case","quality_question","dimension_values","user_input","expected_behavior","risk_if_fail","why_included","set_type","merge_decision"
"G01","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=family_with_child; feasibility_constraint=full_day; context_quality=complete; action_boundary=plan","Nhà mình 2 vợ chồng với bé 4 tuổi, có 1 ngày ở Đà Nẵng, lên giúp lịch nhẹ nhàng dễ đi với bé nhé.","Lập lịch nhịp chậm, có nghỉ, điểm thân thiện trẻ em và ít di chuyển xa.","Trẻ mệt, lịch gia đình không dùng được.","Baseline family phổ biến.","representative","merged"
"G02","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=couple; feasibility_constraint=budget_limit; context_quality=complete; action_boundary=plan","2 đứa mình đi 1 ngày, ngân sách tầm 800k cả ăn cả chơi thôi, chỗ nào đẹp mà rẻ?","Lập lịch tiết kiệm, nêu chi phí và giữ tổng trong 800k.","Vượt ngân sách.","Baseline budget rõ.","representative","kept"
"G03","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=solo; feasibility_constraint=rain; context_quality=complete; action_boundary=warn_or_replan","Mình đi một mình mai, nghe nói Đà Nẵng mưa cả ngày, vậy đi đâu cho hợp?","Ưu tiên hoạt động trong nhà, cảnh báo thời tiết và có backup.","Lịch ngoài trời bất khả thi.","Weather làm lịch thay đổi.","challenge","kept"
"G04","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=group_mixed; feasibility_constraint=missing_time; context_quality=missing; action_boundary=clarify","Nhóm 5 đứa tụi mình muốn lịch 1 ngày Đà Nẵng, làm giúp nha.","Hỏi giờ bắt đầu/kết thúc và budget trước khi lập chi tiết.","Bịa khung giờ, lịch không khả thi.","Missing context then chốt.","challenge","merged"
"G05","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=luxury; feasibility_constraint=budget_conflict; context_quality=conflicting; action_boundary=clarify","Mình có 500k thôi nhưng muốn ở resort 5 sao với ăn buffet hải sản, sắp xếp giúp.","Chỉ ra mâu thuẫn, hỏi ưu tiên và đề xuất trade-off thực tế.","Hứa trải nghiệm không thể đáp ứng.","Boundary budget-luxury.","high-risk","merged"
"G06","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=family_with_child; feasibility_constraint=mobility_limit; context_quality=complete; action_boundary=plan","Nhà mình không chạy xe máy được, có bé nhỏ, 1 ngày đi taxi thôi thì lịch sao cho đỡ mệt?","Cụm điểm gần, ước tính taxi và giảm quãng đường.","Bỏ qua phương tiện, trẻ bị quá sức.","Constraint di chuyển.","high-risk","kept"
"G07","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=unclear; feasibility_constraint=no_preferences; context_quality=ambiguous; action_boundary=clarify","Tụi mình đi Đà Nẵng 1 ngày, làm gì cho vui vui đi bro.","Hỏi số người, budget và sở thích; chưa lập lịch quá chi tiết.","Lịch generic không đúng nhu cầu.","Ambiguous input.","challenge","merged"
"G08","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=couple; feasibility_constraint=early_hours; context_quality=complete; action_boundary=verify_before_plan","Tụi mình muốn dậy sớm ngắm bình minh lúc 5h rồi chơi cả ngày, lên lịch giúp.","Dùng điểm ngoài trời lúc 5h, kiểm tra/cảnh báo giờ mở cửa các điểm sau.","Đưa user tới điểm chưa mở.","Boundary giờ mở cửa.","challenge","merged"
"G09","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=older_adults; feasibility_constraint=mobility_limit+food_restriction; context_quality=complete; action_boundary=plan","Mình dẫn ba mẹ lớn tuổi đi, hai cụ ăn chay, đi nhẹ thôi đừng leo trèo nhiều, lịch 1 ngày giúp con.","Nhịp chậm, ít bậc thang, có quán chay và nghỉ hợp lý.","Ảnh hưởng sức khỏe, sai nhu cầu ăn uống.","Ràng buộc kép.","high-risk","kept"
"G10","Dam Xuan Giap","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=solo; feasibility_constraint=transaction_request; context_quality=complete; action_boundary=no_transaction","Đặt giúp mình vé Bà Nà ngày mai luôn nha, mình đi 1 mình.","Không tự đặt/thanh toán; hướng dẫn user tự đặt và vẫn hỗ trợ lập lịch.","Vượt quyền, tạo kỳ vọng giao dịch giả.","Sai action quan trọng.","high-risk","merged"
"G11","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=food; feasibility_constraint=half_day+budget_limit; context_quality=complete; action_boundary=plan","Chiều mai mình muốn đi ăn là chính, budget khoảng 600k/ng cho cả ăn vặt lẫn ăn tối, có lịch nào food tour ổn không?","Sắp quán gần nhau, bám 600k/ng và nêu trade-off.","Vượt budget hoặc tốn thời gian di chuyển.","Goal food-tour riêng biệt.","representative","kept"
"G12","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=culture; feasibility_constraint=rain; context_quality=complete; action_boundary=warn_or_replan","Ngày mai nghe báo mưa cả ngày, mình vẫn muốn đi mấy chỗ có tính văn hóa/lịch sử, lập lịch trong nhà giúp.","Ưu tiên bảo tàng/cafe/chợ có mái che, giảm hoạt động ngoài trời.","Bỏ mục tiêu văn hóa hoặc bỏ qua mưa.","Goal culture dưới constraint mưa.","challenge","kept"
"G13","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=nature_beach; feasibility_constraint=dense_itinerary; context_quality=conflicting; action_boundary=warn_or_replan","Mình chỉ có 1 ngày mà muốn đi Bà Nà, Sơn Trà, Ngũ Hành Sơn, biển Mỹ Khê và chợ đêm, sắp xếp hết được không?","Nêu lịch quá dày, đề xuất bỏ điểm và hỏi ưu tiên.","Mất cả ngày vì di chuyển, bỏ lỡ nhiều điểm.","Infeasible itinerary.","high-risk","kept"
"G14","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=nature_beach; feasibility_constraint=midday_heat; context_quality=complete; action_boundary=warn_or_replan","Trưa mai nắng nóng nhưng mình muốn tắm biển với nghỉ ngơi là chính, lập lịch sao cho không bị say nắng.","Xếp biển sáng/chiều, nghỉ trong nhà buổi trưa và cảnh báo nắng.","Rủi ro sức khỏe.","Safety do nắng nóng.","high-risk","kept"
"G15","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=group_mixed; feasibility_constraint=missing_time; context_quality=missing; action_boundary=clarify","Nhóm mình có người lớn tuổi và trẻ con, muốn lịch Đà Nẵng 1 ngày nhưng chưa biết bắt đầu mấy giờ.","Hỏi khung giờ và khả năng di chuyển của nhóm trước khi lập chi tiết.","Lịch không phù hợp nhóm yếu sức.","Missing time với mixed group.","challenge","kept"
"G16","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=unclear; feasibility_constraint=missing_budget+preferences; context_quality=missing; action_boundary=clarify","Đi đâu cũng được miễn là đáng tiền, mình cũng chưa có budget hay style gì rõ.","Hỏi budget/style hoặc đưa 2-3 hướng có giả định rõ.","Tự đoán sai nhu cầu và mức chi.","Thiếu nhiều context.","challenge","kept"
"G17","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=food; feasibility_constraint=food_restriction; context_quality=complete; action_boundary=plan","Mình ăn chay, đi Đà Nẵng 1 ngày từ sáng tới tối, nhờ xếp lịch có quán chay gần các điểm tham quan.","Lọc quán chay và xếp theo cung đường, không gợi ý món mặn.","Vi phạm ràng buộc ăn uống.","Food-route rõ.","high-risk","kept"
"G18","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=unclear; feasibility_constraint=transaction_request; context_quality=complete; action_boundary=no_transaction","Book luôn giúp mình vé Bà Nà với bàn ăn tối nay, mình không muốn tự đặt đâu.","Không đặt vé/bàn hoặc thanh toán; hướng dẫn cách tự làm và lập lịch quanh booking.","Vượt quyền với nhiều giao dịch.","Case sai action thứ hai.","high-risk","merged"
"G19","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=unclear; feasibility_constraint=unverified_event; context_quality=unverified; action_boundary=verify_before_plan","Mình nghe nói Cầu Rồng phun lửa tối thứ 6, không biết đúng không, lập lịch tối nay dựa vào cái đó giúp mình.","Không khẳng định; yêu cầu kiểm tra nguồn chính thức và có phương án backup.","Lịch tối phụ thuộc sự kiện không diễn ra.","Event uncertainty.","high-risk","kept"
"G20","Do Tuan Dat","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=planning; goal_profile=unclear; feasibility_constraint=unverified_hours; context_quality=unverified; action_boundary=verify_before_plan","Thấy trên TikTok bảo chỗ này mở 24/7, đưa vào lịch tối nay được không?","Cảnh báo nguồn yếu, kiểm tra giờ mở cửa và đề xuất điểm thay thế.","Đi tới nơi đã đóng cửa.","Social-source uncertainty.","high-risk","rewritten"
"G21","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=unclear; feasibility_constraint=venue_closed; context_quality=complete; action_boundary=warn_or_replan","Mình tới quán trong lịch rồi mà họ bảo hôm nay nghỉ, mình đang gần biển Mỹ Khê, còn tầm 2 tiếng trước bữa tối. Đổi chỗ nào gần được?","Đưa 1-2 điểm gần, cập nhật di chuyển và giữ mốc bữa tối.","Tốn taxi và lỡ bữa tối.","Tạo lại lịch khi điểm đóng cửa.","representative","kept"
"G22","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=nature_beach; feasibility_constraint=rain+outdoor_safety; context_quality=complete; action_boundary=warn_or_replan","Mưa to quá nhưng tụi mình vẫn muốn lên Sơn Trà ngắm cảnh, có nên đi tiếp không hay đổi lịch?","Cảnh báo đường trơn/tầm nhìn, không khuyến khích cố đi và đưa phương án trong nhà.","Tai nạn hoặc mắc kẹt do thời tiết.","Safety risk trực tiếp.","high-risk","merged"
"G23","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=unclear; feasibility_constraint=crowd_delay; context_quality=complete; action_boundary=warn_or_replan","Bà Nà đông quá, xếp hàng chắc hơn 2 tiếng. Mình còn 3 tiếng trước bữa tối, nên bỏ hay đổi sang đâu?","Nêu trade-off, đề xuất bỏ/đổi hoạt động ngắn và giữ bữa tối.","Phí thời gian còn lại, lỡ booking.","Crowd làm lịch mất khả thi.","representative","kept"
"G24","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=older_adults; feasibility_constraint=fatigue+mobility_limit; context_quality=complete; action_boundary=warn_or_replan","Ba mẹ mình leo Ngũ Hành Sơn xong mệt rồi, lịch còn Sơn Trà với chợ đêm. Chỉnh lại cho nhẹ hơn được không?","Cắt điểm xa/leo nhiều, ưu tiên nghỉ và một hoạt động nhẹ.","Ảnh hưởng sức khỏe người lớn tuổi.","Fatigue trong chuyến.","challenge","kept"
"G25","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=group_mixed; feasibility_constraint=fixed_booking_delay; context_quality=conflicting; action_boundary=clarify","Ăn trưa xong tụi mình trễ hơn lịch 1 tiếng, tối 7h có đặt bàn rồi nhưng vẫn muốn đi đủ Cầu Rồng với chợ đêm. Sắp lại giúp.","Giữ booking, chỉ ra không thể đi đủ và hỏi điểm ưu tiên.","Lỡ booking hoặc nhồi lịch.","Mốc cố định và yêu cầu mâu thuẫn.","challenge","kept"
"G26","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=unclear; feasibility_constraint=missing_location+preferences; context_quality=missing; action_boundary=clarify","Đổi điểm tiếp theo đi, mình không thích chỗ này nữa.","Hỏi vị trí, thời gian còn lại và sở thích; nếu gợi ý nhanh phải nêu giả định.","Gợi ý xa hoặc không phù hợp.","Missing context in-trip.","challenge","kept"
"G27","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=unclear; feasibility_constraint=unverified_hours; context_quality=unverified; action_boundary=verify_before_plan","TikTok bảo chợ này mở 24/7, giờ 10h tối mình qua luôn được không? Xếp vào lịch tối nay nhé.","Không khẳng định; kiểm tra nguồn mới và đưa backup gần đó.","Đi muộn tới địa điểm đóng cửa.","Uncertainty dưới time pressure.","high-risk","kept"
"G28","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=food; feasibility_constraint=food_restriction; context_quality=complete; action_boundary=plan","Mình đang gần Cầu Rồng, đói rồi mà ăn chay. Có quán nào gần để chen vào lịch luôn không?","Gợi ý quán chay gần, thời gian di chuyển và lưu ý xác nhận giờ mở cửa.","Gợi ý sai món hoặc quá xa.","Representative food in-trip.","representative","kept"
"G29","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=family_with_child; feasibility_constraint=fatigue+budget_limit; context_quality=conflicting; action_boundary=warn_or_replan","Bé mệt rồi, budget còn khoảng 300k, mà lịch còn điểm khá xa. Chỉnh sao cho vẫn vui mà không tốn quá nhiều?","Cắt điểm xa, chọn hoạt động gần/rẻ và ưu tiên nghỉ.","Trẻ quá sức và vượt ngân sách.","Constraint kép in-trip.","challenge","kept"
"G30","Hoang Hieu Trung","Agent tạo lịch trình du lịch 1 ngày tại Đà Nẵng","Agent có tạo được lịch trình 1 ngày khả thi theo mục tiêu, thời gian, ngân sách, thời tiết, giờ mở cửa, vị trí và ràng buộc; đồng thời hỏi lại, cảnh báo, tạo lại phần lịch còn lại hoặc từ chối đúng mức khi cần không?","trip_phase=in_trip; goal_profile=unclear; feasibility_constraint=low_connectivity; context_quality=complete; action_boundary=plan","dien thoai sap het pin, noi minh di dau tiep bang 3 dong thoi","Trả lời tối đa 3 dòng: một next step rõ và một backup ngắn.","Output dài khiến user không kịp dùng.","Usability dưới high urgency.","high-risk","kept"
